cycle,point_idx,thickness_nm,temp_c,pressure,gas_flow,rf_power
1,45,0.0552,361.79,47.91,120.05,299.7
1,46,0.0534,361.79,47.91,120.05,299.7
1,47,0.055,361.79,47.91,120.05,299.7
1,48,0.0516,361.79,47.91,120.05,299.7
2,0,0.1286,361.87,47.78,119.98,301.4
2,1,0.124,361.87,47.78,119.98,301.4
2,2,0.1212,361.87,47.78,119.98,301.4
2,3,0.1271,361.87,47.78,119.98,301.4
2,4,0.124,361.87,47.78,119.98,301.4
2,5,0.1181,361.87,47.78,119.98,301.4
2,6,0.1245,361.87,47.78,119.98,301.4
2,7,0.1184,361.87,47.78,119.98,301.4
2,8,0.1203,361.87,47.78,119.98,301.4
2,9,0.1187,361.87,47.78,119.98,301.4
2,10,0.1197,361.87,47.78,119.98,301.4
2,11,0.1248,361.87,47.78,119.98,301.4
2,12,0.1212,361.87,47.78,119.98,301.4
2,13,0.1194,361.87,47.78,119.98,301.4
2,14,0.1168,361.87,47.78,119.98,301.4
2,15,0.1145,361.87,47.78,119.98,301.4
2,16,0.1204,361.87,47.78,119.98,301.4
2,17,0.1184,361.87,47.78,119.98,301.4
2,18,0.116,361.87,47.78,119.98,301.4
2,19,0.1146,361.87,47.78,119.98,301.4
2,20,0.1191,361.87,47.78,119.98,301.4
2,21,0.1101,361.87,47.78,119.98,301.4
2,22,0.1153,361.87,47.78,119.98,301.4
2,23,0.1154,361.87,47.78,119.98,301.4
2,24,0.1179,361.87,47.78,119.98,301.4
2,25,0.1145,361.87,47.78,119.98,301.4
2,26,0.1181,361.87,47.78,119.98,301.4
2,27,0.1142,361.87,47.78,119.98,301.4
2,28,0.1187,361.87,47.78,119.98,301.4
2,29,0.1117,361.87,47.78,119.98,301.4
2,30,0.1185,361.87,47.78,119.98,301.4
2,31,0.1058,361.87,47.78,119.98,301.4
2,32,0.1012,361.87,47.78,119.98,301.4
2,33,0.1077,361.87,47.78,119.98,301.4
2,34,0.1059,361.87,47.78,119.98,301.4
2,35,0.1137,361.87,47.78,119.98,301.4
2,36,0.1126,361.87,47.78,119.98,301.4
2,37,0.1081,361.87,47.78,119.98,301.4
2,38,0.1128,361.87,47.78,119.98,301.4
2,39,0.1072,361.87,47.78,119.98,301.4
2,40,0.1085,361.87,47.78,119.98,301.4
2,41,0.109,361.87,47.78,119.98,301.4
2,42,0.1111,361.87,47.78,119.98,301.4
2,43,0.1098,361.87,47.78,119.98,301.4
2,44,0.1098,361.87,47.78,119.98,301.4
2,45,0.1072,361.87,47.78,119.98,301.4
2,46,0.1072,361.87,47.78,119.98,301.4
2,47,0.1082,361.87,47.78,119.98,301.4
2,48,0.1044,361.87,47.78,119.98,301.4
3,0,0.1939,362.18,47.87,120.11,300.1
3,1,0.1877,362.18,47.87,120.11,300.1
3,2,0.1874,362.18,47.87,120.11,300.1
3,3,0.1914,362.18,47.87,120.11,300.1
3,4,0.1888,362.18,47.87,120.11,300.1
3,5,0.1796,362.18,47.87,120.11,300.1
3,6,0.1888,362.18,47.87,120.11,300.1
3,7,0.1791,362.18,47.87,120.11,300.1
3,8,0.1808,362.18,47.87,120.11,300.1
3,9,0.1812,362.18,47.87,120.11,300.1
3,10,0.1822,362.18,47.87,120.11,300.1
3,11,0.1878,362.18,47.87,120.11,300.1
3,12,0.1834,362.18,47.87,120.11,300.1
3,13,0.1793,362.18,47.87,120.11,300.1
3,14,0.1768,362.18,47.87,120.11,300.1
3,15,0.1753,362.18,47.87,120.11,300.1
3,16,0.1811,362.18,47.87,120.11,300.1
3,17,0.1817,362.18,47.87,120.11,300.1
3,18,0.1747,362.18,47.87,120.11,300.1
3,19,0.1723,362.18,47.87,120.11,300.1
3,20,0.1772,362.18,47.87,120.11,300.1
3,21,0.1659,362.18,47.87,120.11,300.1
3,22,0.1707,362.18,47.87,120.11,300.1
3,23,0.1769,362.18,47.87,120.11,300.1
3,24,0.1785,362.18,47.87,120.11,300.1
3,25,0.1718,362.18,47.87,120.11,300.1
3,26,0.1764,362.18,47.87,120.11,300.1
3,27,0.1757,362.18,47.87,120.11,300.1
3,28,0.1774,362.18,47.87,120.11,300.1
3,29,0.1683,362.18,47.87,120.11,300.1
3,30,0.1779,362.18,47.87,120.11,300.1
3,31,0.1581,362.18,47.87,120.11,300.1
3,32,0.1533,362.18,47.87,120.11,300.1
3,33,0.1637,362.18,47.87,120.11,300.1
3,34,0.1643,362.18,47.87,120.11,300.1
3,35,0.1697,362.18,47.87,120.11,300.1
3,36,0.1712,362.18,47.87,120.11,300.1
3,37,0.1601,362.18,47.87,120.11,300.1
3,38,0.1713,362.18,47.87,120.11,300.1
3,39,0.1635,362.18,47.87,120.11,300.1
3,40,0.1665,362.18,47.87,120.11,300.1
3,41,0.1676,362.18,47.87,120.11,300.1
3,42,0.1671,362.18,47.87,120.11,300.1
3,43,0.1651,362.18,47.87,120.11,300.1
3,44,0.1633,362.18,47.87,120.11,300.1
3,45,0.1615,362.18,47.87,120.11,300.1
3,46,0.1639,362.18,47.87,120.11,300.1
3,47,0.1626,362.18,47.87,120.11,300.1
3,48,0.1572,362.18,47.87,120.11,300.1
4,0,0.2586,361.41,48.42,119.98,301.7
4,1,0.2508,361.41,48.42,119.98,301.7
4,2,0.2541,361.41,48.42,119.98,301.7
4,3,0.2559,361.41,48.42,119.98,301.7
4,4,0.2494,361.41,48.42,119.98,301.7
4,5,0.2405,361.41,48.42,119.98,301.7
4,6,0.2546,361.41,48.42,119.98,301.7
4,7,0.2413,361.41,48.42,119.98,301.7
4,8,0.2422,361.41,48.42,119.98,301.7
4,9,0.243,361.41,48.42,119.98,301.7
4,10,0.2425,361.41,48.42,119.98,301.7
4,11,0.2504,361.41,48.42,119.98,301.7
4,12,0.2484,361.41,48.42,119.98,301.7
4,13,0.2437,361.41,48.42,119.98,301.7
4,14,0.2352,361.41,48.42,119.98,301.7
4,15,0.2352,361.41,48.42,119.98,301.7
4,16,0.2456,361.41,48.42,119.98,301.7
4,17,0.2451,361.41,48.42,119.98,301.7
4,18,0.2345,361.41,48.42,119.98,301.7
4,19,0.2332,361.41,48.42,119.98,301.7
4,20,0.2362,361.41,48.42,119.98,301.7
4,21,0.2224,361.41,48.42,119.98,301.7
4,22,0.2314,361.41,48.42,119.98,301.7
4,23,0.2376,361.41,48.42,119.98,301.7
4,24,0.2405,361.41,48.42,119.98,301.7
4,25,0.2314,361.41,48.42,119.98,301.7
4,26,0.2352,361.41,48.42,119.98,301.7
4,27,0.2346,361.41,48.42,119.98,301.7
4,28,0.2381,361.41,48.42,119.98,301.7
4,29,0.2263,361.41,48.42,119.98,301.7
4,30,0.2354,361.41,48.42,119.98,301.7
4,31,0.2131,361.41,48.42,119.98,301.7
4,32,0.206,361.41,48.42,119.98,301.7
4,33,0.2215,361.41,48.42,119.98,301.7
4,34,0.2178,361.41,48.42,119.98,301.7
4,35,0.2316,361.41,48.42,119.98,301.7
4,36,0.2287,361.41,48.42,119.98,301.7
4,37,0.2148,361.41,48.42,119.98,301.7
4,38,0.2297,361.41,48.42,119.98,301.7
4,39,0.2187,361.41,48.42,119.98,301.7
4,40,0.2247,361.41,48.42,119.98,301.7
4,41,0.2227,361.41,48.42,119.98,301.7
4,42,0.2285,361.41,48.42,119.98,301.7
4,43,0.2213,361.41,48.42,119.98,301.7
4,44,0.2207,361.41,48.42,119.98,301.7
4,45,0.2183,361.41,48.42,119.98,301.7
4,46,0.2199,361.41,48.42,119.98,301.7
4,47,0.2212,361.41,48.42,119.98,301.7
4,48,0.2125,361.41,48.42,119.98,301.7
5,0,0.3257,361.63,47.95,120.03,300.8
5,1,0.3134,361.63,47.95,120.03,300.8
5,2,0.3143,361.63,47.95,120.03,300.8
5,3,0.3234,361.63,47.95,120.03,300.8
5,4,0.3159,361.63,47.95,120.03,300.8
5,5,0.304,361.63,47.95,120.03,300.8
5,6,0.3194,361.63,47.95,120.03,300.8
5,7,0.3018,361.63,47.95,120.03,300.8
5,8,0.3015,361.63,47.95,120.03,300.8
5,9,0.3068,361.63,47.95,120.03,300.8
5,10,0.3079,361.63,47.95,120.03,300.8
5,11,0.317,361.63,47.95,120.03,300.8
5,12,0.3122,361.63,47.95,120.03,300.8
5,13,0.3063,361.63,47.95,120.03,300.8
5,14,0.3002,361.63,47.95,120.03,300.8
5,15,0.2962,361.63,47.95,120.03,300.8
5,16,0.307,361.63,47.95,120.03,300.8
5,17,0.3056,361.63,47.95,120.03,300.8
5,18,0.2941,361.63,47.95,120.03,300.8
5,19,0.2912,361.63,47.95,120.03,300.8
5,20,0.2993,361.63,47.95,120.03,300.8
5,21,0.2815,361.63,47.95,120.03,300.8
5,22,0.2911,361.63,47.95,120.03,300.8
5,23,0.298,361.63,47.95,120.03,300.8
5,24,0.3026,361.63,47.95,120.03,300.8
5,25,0.2939,361.63,47.95,120.03,300.8
5,26,0.2978,361.63,47.95,120.03,300.8
5,27,0.2961,361.63,47.95,120.03,300.8
5,28,0.3008,361.63,47.95,120.03,300.8
5,29,0.2842,361.63,47.95,120.03,300.8
5,30,0.2982,361.63,47.95,120.03,300.8
5,31,0.2688,361.63,47.95,120.03,300.8
5,32,0.259,361.63,47.95,120.03,300.8
5,33,0.279,361.63,47.95,120.03,300.8
5,34,0.2753,361.63,47.95,120.03,300.8
5,35,0.2915,361.63,47.95,120.03,300.8
5,36,0.2879,361.63,47.95,120.03,300.8
5,37,0.2723,361.63,47.95,120.03,300.8
5,38,0.2891,361.63,47.95,120.03,300.8
5,39,0.2739,361.63,47.95,120.03,300.8
5,40,0.2822,361.63,47.95,120.03,300.8
5,41,0.2792,361.63,47.95,120.03,300.8
5,42,0.2856,361.63,47.95,120.03,300.8
5,43,0.2794,361.63,47.95,120.03,300.8
5,44,0.2753,361.63,47.95,120.03,300.8
5,45,0.2752,361.63,47.95,120.03,300.8
5,46,0.2769,361.63,47.95,120.03,300.8
5,47,0.2758,361.63,47.95,120.03,300.8
5,48,0.2663,361.63,47.95,120.03,300.8
6,0,0.3968,362.18,47.62,119.87,300.8
6,1,0.3836,362.18,47.62,119.87,300.8
6,2,0.3842,362.18,47.62,119.87,300.8
6,3,0.3892,362.18,47.62,119.87,300.8
6,4,0.383,362.18,47.62,119.87,300.8
6,5,0.3653,362.18,47.62,119.87,300.8
6,6,0.3888,362.18,47.62,119.87,300.8
6,7,0.3667,362.18,47.62,119.87,300.8
6,8,0.3659,362.18,47.62,119.87,300.8
6,9,0.3727,362.18,47.62,119.87,300.8
6,10,0.3726,362.18,47.62,119.87,300.8
6,11,0.3802,362.18,47.62,119.87,300.8
6,12,0.3769,362.18,47.62,119.87,300.8
6,13,0.3699,362.18,47.62,119.87,300.8
6,14,0.3615,362.18,47.62,119.87,300.8
6,15,0.3579,362.18,47.62,119.87,300.8
6,16,0.3735,362.18,47.62,119.87,300.8
6,17,0.3688,362.18,47.62,119.87,300.8
6,18,0.3567,362.18,47.62,119.87,300.8
6,19,0.3566,362.18,47.62,119.87,300.8
6,20,0.3609,362.18,47.62,119.87,300.8
6,21,0.3403,362.18,47.62,119.87,300.8
6,22,0.3527,362.18,47.62,119.87,300.8
6,23,0.3606,362.18,47.62,119.87,300.8
6,24,0.3661,362.18,47.62,119.87,300.8
6,25,0.3534,362.18,47.62,119.87,300.8
6,26,0.3591,362.18,47.62,119.87,300.8
6,27,0.3604,362.18,47.62,119.87,300.8
6,28,0.3653,362.18,47.62,119.87,300.8
6,29,0.3436,362.18,47.62,119.87,300.8
6,30,0.3615,362.18,47.62,119.87,300.8
6,31,0.3244,362.18,47.62,119.87,300.8
6,32,0.3144,362.18,47.62,119.87,300.8
6,33,0.335,362.18,47.62,119.87,300.8
6,34,0.3322,362.18,47.62,119.87,300.8
6,35,0.3511,362.18,47.62,119.87,300.8
6,36,0.3496,362.18,47.62,119.87,300.8
6,37,0.3283,362.18,47.62,119.87,300.8
6,38,0.3518,362.18,47.62,119.87,300.8
6,39,0.3306,362.18,47.62,119.87,300.8
6,40,0.3416,362.18,47.62,119.87,300.8
6,41,0.3392,362.18,47.62,119.87,300.8
6,42,0.3429,362.18,47.62,119.87,300.8
6,43,0.3363,362.18,47.62,119.87,300.8
6,44,0.3343,362.18,47.62,119.87,300.8
6,45,0.3314,362.18,47.62,119.87,300.8
6,46,0.3344,362.18,47.62,119.87,300.8
6,47,0.3344,362.18,47.62,119.87,300.8
6,48,0.3214,362.18,47.62,119.87,300.8
7,0,0.4646,362.54,48.49,119.99,298.5
7,1,0.4487,362.54,48.49,119.99,298.5
7,2,0.448,362.54,48.49,119.99,298.5
7,3,0.4597,362.54,48.49,119.99,298.5
7,4,0.4496,362.54,48.49,119.99,298.5
7,5,0.4313,362.54,48.49,119.99,298.5
7,6,0.4544,362.54,48.49,119.99,298.5
7,7,0.4301,362.54,48.49,119.99,298.5
7,8,0.4333,362.54,48.49,119.99,298.5
7,9,0.4356,362.54,48.49,119.99,298.5
7,10,0.4364,362.54,48.49,119.99,298.5
7,11,0.4488,362.54,48.49,119.99,298.5
7,12,0.4437,362.54,48.49,119.99,298.5
7,13,0.435,362.54,48.49,119.99,298.5
7,14,0.4253,362.54,48.49,119.99,298.5
7,15,0.422,362.54,48.49,119.99,298.5
7,16,0.4382,362.54,48.49,119.99,298.5
7,17,0.4367,362.54,48.49,119.99,298.5
7,18,0.4184,362.54,48.49,119.99,298.5
7,19,0.4182,362.54,48.49,119.99,298.5
7,20,0.4245,362.54,48.49,119.99,298.5
7,21,0.3994,362.54,48.49,119.99,298.5
7,22,0.4156,362.54,48.49,119.99,298.5
7,23,0.4256,362.54,48.49,119.99,298.5
7,24,0.4296,362.54,48.49,119.99,298.5
7,25,0.4142,362.54,48.49,119.99,298.5
7,26,0.4238,362.54,48.49,119.99,298.5
7,27,0.421,362.54,48.49,119.99,298.5
7,28,0.4276,362.54,48.49,119.99,298.5
7,29,0.4035,362.54,48.49,119.99,298.5
7,30,0.426,362.54,48.49,119.99,298.5
7,31,0.3802,362.54,48.49,119.99,298.5
7,32,0.3685,362.54,48.49,119.99,298.5
7,33,0.3942,362.54,48.49,119.99,298.5
7,34,0.3894,362.54,48.49,119.99,298.5
7,35,0.414,362.54,48.49,119.99,298.5
7,36,0.4109,362.54,48.49,119.99,298.5
7,37,0.3855,362.54,48.49,119.99,298.5
7,38,0.412,362.54,48.49,119.99,298.5
7,39,0.3896,362.54,48.49,119.99,298.5
7,40,0.3992,362.54,48.49,119.99,298.5
7,41,0.3977,362.54,48.49,119.99,298.5
7,42,0.4026,362.54,48.49,119.99,298.5
7,43,0.3965,362.54,48.49,119.99,298.5
7,44,0.3943,362.54,48.49,119.99,298.5
7,45,0.3905,362.54,48.49,119.99,298.5
7,46,0.3954,362.54,48.49,119.99,298.5
7,47,0.3923,362.54,48.49,119.99,298.5
7,48,0.3776,362.54,48.49,119.99,298.5
8,0,0.5347,361.72,48.18,120.04,301.5
8,1,0.5168,361.72,48.18,120.04,301.5
8,2,0.5176,361.72,48.18,120.04,301.5
8,3,0.5296,361.72,48.18,120.04,301.5
8,4,0.5174,361.72,48.18,120.04,301.5
8,5,0.4955,361.72,48.18,120.04,301.5
8,6,0.525,361.72,48.18,120.04,301.5
8,7,0.4968,361.72,48.18,120.04,301.5
8,8,0.498,361.72,48.18,120.04,301.5
8,9,0.5041,361.72,48.18,120.04,301.5
8,10,0.5032,361.72,48.18,120.04,301.5
8,11,0.5173,361.72,48.18,120.04,301.5
8,12,0.5098,361.72,48.18,120.04,301.5
8,13,0.5037,361.72,48.18,120.04,301.5
8,14,0.4875,361.72,48.18,120.04,301.5
8,15,0.4856,361.72,48.18,120.04,301.5
8,16,0.5023,361.72,48.18,120.04,301.5
8,17,0.4987,361.72,48.18,120.04,301.5
8,18,0.4805,361.72,48.18,120.04,301.5
8,19,0.4789,361.72,48.18,120.04,301.5
8,20,0.4908,361.72,48.18,120.04,301.5
8,21,0.4595,361.72,48.18,120.04,301.5
8,22,0.477,361.72,48.18,120.04,301.5
8,23,0.488,361.72,48.18,120.04,301.5
8,24,0.4954,361.72,48.18,120.04,301.5
8,25,0.4772,361.72,48.18,120.04,301.5
8,26,0.4888,361.72,48.18,120.04,301.5
8,27,0.4846,361.72,48.18,120.04,301.5
8,28,0.4927,361.72,48.18,120.04,301.5
8,29,0.4656,361.72,48.18,120.04,301.5
8,30,0.4903,361.72,48.18,120.04,301.5
8,31,0.4417,361.72,48.18,120.04,301.5
8,32,0.4241,361.72,48.18,120.04,301.5
8,33,0.4525,361.72,48.18,120.04,301.5
8,34,0.4486,361.72,48.18,120.04,301.5
8,35,0.475,361.72,48.18,120.04,301.5
8,36,0.4732,361.72,48.18,120.04,301.5
8,37,0.4451,361.72,48.18,120.04,301.5
8,38,0.4751,361.72,48.18,120.04,301.5
8,39,0.4488,361.72,48.18,120.04,301.5
8,40,0.4609,361.72,48.18,120.04,301.5
8,41,0.4582,361.72,48.18,120.04,301.5
8,42,0.4646,361.72,48.18,120.04,301.5
8,43,0.4581,361.72,48.18,120.04,301.5
8,44,0.4538,361.72,48.18,120.04,301.5
8,45,0.4493,361.72,48.18,120.04,301.5
8,46,0.453,361.72,48.18,120.04,301.5
8,47,0.4522,361.72,48.18,120.04,301.5
8,48,0.4346,361.72,48.18,120.04,301.5
9,0,0.6061,362.19,47.66,120.09,298.7
9,1,0.5868,362.19,47.66,120.09,298.7
9,2,0.5855,362.19,47.66,120.09,298.7
9,3,0.6003,362.19,47.66,120.09,298.7
9,4,0.5866,362.19,47.66,120.09,298.7
9,5,0.5626,362.19,47.66,120.09,298.7
9,6,0.5956,362.19,47.66,120.09,298.7
9,7,0.5639,362.19,47.66,120.09,298.7
9,8,0.5613,362.19,47.66,120.09,298.7
9,9,0.5674,362.19,47.66,120.09,298.7
9,10,0.5716,362.19,47.66,120.09,298.7
9,11,0.5851,362.19,47.66,120.09,298.7
9,12,0.5775,362.19,47.66,120.09,298.7
9,13,0.5689,362.19,47.66,120.09,298.7
9,14,0.5552,362.19,47.66,120.09,298.7
9,15,0.5497,362.19,47.66,120.09,298.7
9,16,0.5711,362.19,47.66,120.09,298.7
9,17,0.5674,362.19,47.66,120.09,298.7
9,18,0.5482,362.19,47.66,120.09,298.7
9,19,0.544,362.19,47.66,120.09,298.7
9,20,0.5555,362.19,47.66,120.09,298.7
9,21,0.5214,362.19,47.66,120.09,298.7
9,22,0.5411,362.19,47.66,120.09,298.7
9,23,0.5543,362.19,47.66,120.09,298.7
9,24,0.5607,362.19,47.66,120.09,298.7
9,25,0.5412,362.19,47.66,120.09,298.7
9,26,0.5533,362.19,47.66,120.09,298.7
9,27,0.5518,362.19,47.66,120.09,298.7
9,28,0.5596,362.19,47.66,120.09,298.7
9,29,0.5283,362.19,47.66,120.09,298.7
9,30,0.5566,362.19,47.66,120.09,298.7
9,31,0.5,362.19,47.66,120.09,298.7
9,32,0.4809,362.19,47.66,120.09,298.7
9,33,0.5145,362.19,47.66,120.09,298.7
9,34,0.51,362.19,47.66,120.09,298.7
9,35,0.5392,362.19,47.66,120.09,298.7
9,36,0.5346,362.19,47.66,120.09,298.7
9,37,0.5041,362.19,47.66,120.09,298.7
9,38,0.5368,362.19,47.66,120.09,298.7
9,39,0.5077,362.19,47.66,120.09,298.7
9,40,0.5234,362.19,47.66,120.09,298.7
9,41,0.5208,362.19,47.66,120.09,298.7
9,42,0.5265,362.19,47.66,120.09,298.7
9,43,0.5184,362.19,47.66,120.09,298.7
9,44,0.5145,362.19,47.66,120.09,298.7
9,45,0.5086,362.19,47.66,120.09,298.7
9,46,0.5133,362.19,47.66,120.09,298.7
9,47,0.5108,362.19,47.66,120.09,298.7
9,48,0.4919,362.19,47.66,120.09,298.7
10,0,0.6805,362.29,48.01,120.04,300.1
10,1,0.6568,362.29,48.01,120.04,300.1
10,2,0.6563,362.29,48.01,120.04,300.1
10,3,0.6719,362.29,48.01,120.04,300.1
10,4,0.6561,362.29,48.01,120.04,300.1
10,5,0.6293,362.29,48.01,120.04,300.1
10,6,0.6659,362.29,48.01,120.04,300.1
10,7,0.6308,362.29,48.01,120.04,300.1
10,8,0.6306,362.29,48.01,120.04,300.1
10,9,0.6363,362.29,48.01,120.04,300.1
10,10,0.6401,362.29,48.01,120.04,300.1
10,11,0.6541,362.29,48.01,120.04,300.1
10,12,0.6471,362.29,48.01,120.04,300.1
10,13,0.6368,362.29,48.01,120.04,300.1
10,14,0.6202,362.29,48.01,120.04,300.1
10,15,0.617,362.29,48.01,120.04,300.1
10,16,0.6402,362.29,48.01,120.04,300.1
10,17,0.6358,362.29,48.01,120.04,300.1
10,18,0.6122,362.29,48.01,120.04,300.1
10,19,0.6091,362.29,48.01,120.04,300.1
10,20,0.6209,362.29,48.01,120.04,300.1
10,21,0.5829,362.29,48.01,120.04,300.1
10,22,0.607,362.29,48.01,120.04,300.1
10,23,0.6217,362.29,48.01,120.04,300.1
10,24,0.6287,362.29,48.01,120.04,300.1
10,25,0.6059,362.29,48.01,120.04,300.1
10,26,0.6206,362.29,48.01,120.04,300.1
10,27,0.6181,362.29,48.01,120.04,300.1
10,28,0.6263,362.29,48.01,120.04,300.1
10,29,0.5897,362.29,48.01,120.04,300.1
10,30,0.6213,362.29,48.01,120.04,300.1
10,31,0.5592,362.29,48.01,120.04,300.1
10,32,0.5371,362.29,48.01,120.04,300.1
10,33,0.5757,362.29,48.01,120.04,300.1
10,34,0.5711,362.29,48.01,120.04,300.1
10,35,0.602,362.29,48.01,120.04,300.1
10,36,0.6016,362.29,48.01,120.04,300.1
10,37,0.5658,362.29,48.01,120.04,300.1
10,38,0.6018,362.29,48.01,120.04,300.1
10,39,0.5669,362.29,48.01,120.04,300.1
10,40,0.5852,362.29,48.01,120.04,300.1
10,41,0.5806,362.29,48.01,120.04,300.1
10,42,0.589,362.29,48.01,120.04,300.1
10,43,0.5767,362.29,48.01,120.04,300.1
10,44,0.5757,362.29,48.01,120.04,300.1
10,45,0.5723,362.29,48.01,120.04,300.1
10,46,0.575,362.29,48.01,120.04,300.1
10,47,0.5727,362.29,48.01,120.04,300.1
10,48,0.5507,362.29,48.01,120.04,300.1
11,0,0.7516,362.3,48.01,120.17,300.2
11,1,0.7263,362.3,48.01,120.17,300.2
11,2,0.7266,362.3,48.01,120.17,300.2
11,3,0.7426,362.3,48.01,120.17,300.2
11,4,0.727,362.3,48.01,120.17,300.2
11,5,0.6981,362.3,48.01,120.17,300.2
11,6,0.7364,362.3,48.01,120.17,300.2
11,7,0.6972,362.3,48.01,120.17,300.2
11,8,0.6974,362.3,48.01,120.17,300.2
11,9,0.7052,362.3,48.01,120.17,300.2
11,10,0.709,362.3,48.01,120.17,300.2
11,11,0.7254,362.3,48.01,120.17,300.2
11,12,0.7178,362.3,48.01,120.17,300.2
11,13,0.7045,362.3,48.01,120.17,300.2
11,14,0.6863,362.3,48.01,120.17,300.2
11,15,0.6838,362.3,48.01,120.17,300.2
11,16,0.7077,362.3,48.01,120.17,300.2
11,17,0.7054,362.3,48.01,120.17,300.2
11,18,0.6785,362.3,48.01,120.17,300.2
11,19,0.6729,362.3,48.01,120.17,300.2
11,20,0.6879,362.3,48.01,120.17,300.2
11,21,0.6461,362.3,48.01,120.17,300.2
11,22,0.669,362.3,48.01,120.17,300.2
11,23,0.6852,362.3,48.01,120.17,300.2
11,24,0.695,362.3,48.01,120.17,300.2
11,25,0.6724,362.3,48.01,120.17,300.2
11,26,0.685,362.3,48.01,120.17,300.2
11,27,0.6816,362.3,48.01,120.17,300.2
11,28,0.6922,362.3,48.01,120.17,300.2
11,29,0.6527,362.3,48.01,120.17,300.2
11,30,0.688,362.3,48.01,120.17,300.2
11,31,0.6174,362.3,48.01,120.17,300.2
11,32,0.5953,362.3,48.01,120.17,300.2
11,33,0.6372,362.3,48.01,120.17,300.2
11,34,0.6299,362.3,48.01,120.17,300.2
11,35,0.6678,362.3,48.01,120.17,300.2
11,36,0.6629,362.3,48.01,120.17,300.2
11,37,0.6245,362.3,48.01,120.17,300.2
11,38,0.6679,362.3,48.01,120.17,300.2
11,39,0.6292,362.3,48.01,120.17,300.2
11,40,0.6485,362.3,48.01,120.17,300.2
11,41,0.6421,362.3,48.01,120.17,300.2
11,42,0.6518,362.3,48.01,120.17,300.2
11,43,0.6415,362.3,48.01,120.17,300.2
11,44,0.6381,362.3,48.01,120.17,300.2
11,45,0.6299,362.3,48.01,120.17,300.2
11,46,0.6379,362.3,48.01,120.17,300.2
11,47,0.6353,362.3,48.01,120.17,300.2
11,48,0.611,362.3,48.01,120.17,300.2
12,0,0.8247,362.09,48.15,120.0,300.7
12,1,0.796,362.09,48.15,120.0,300.7
12,2,0.7965,362.09,48.15,120.0,300.7
12,3,0.8156,362.09,48.15,120.0,300.7
12,4,0.7982,362.09,48.15,120.0,300.7
12,5,0.7656,362.09,48.15,120.0,300.7
12,6,0.8072,362.09,48.15,120.0,300.7
12,7,0.7637,362.09,48.15,120.0,300.7
12,8,0.7661,362.09,48.15,120.0,300.7
12,9,0.772,362.09,48.15,120.0,300.7
12,10,0.7764,362.09,48.15,120.0,300.7
12,11,0.7958,362.09,48.15,120.0,300.7
12,12,0.7841,362.09,48.15,120.0,300.7
12,13,0.773,362.09,48.15,120.0,300.7
12,14,0.7536,362.09,48.15,120.0,300.7
12,15,0.7475,362.09,48.15,120.0,300.7
12,16,0.7769,362.09,48.15,120.0,300.7
12,17,0.7716,362.09,48.15,120.0,300.7
12,18,0.7436,362.09,48.15,120.0,300.7
12,19,0.7388,362.09,48.15,120.0,300.7
